id,name,code,createdAt
cmk145wos0000m64y9ok0nkb6,القاهرة-الجيش,,2026-01-05 12:05:17.064
cmk14662a0001m64ybhbdyccv,الجيزة,,2026-01-05 12:05:29.266
cmk146gmn0002m64ysargzrjw,حلوان,,2026-01-05 12:05:42.939
cmkti169i000011n1gthph6sx,القاهرة - الجيش,CAIRO_ELGEISH,2026-01-25 08:51:03.798
