id,name,code,createdAt
cmk145wos0000m64y9ok0nkb6,القاهرة-الجيش,,2026-01-05 12:05:17.064
cmk14662a0001m64ybhbdyccv,الجيزة,,2026-01-05 12:05:29.266
cmk146gmn0002m64ysargzrjw,حلوان,,2026-01-05 12:05:42.939
